Contents,Label
"@marioem_95 aún le queda un poquillo, pero por supuesto. aunque tengo lista de rivales pendientes ",0
llevo como una hora repitiendo no debí haber bebido ese último monster teniendo que madrugar mi vida.,0
"@luciaaaypunto no se , creo que no . yo solo mire mi fecha ",0
@ideiazabaldu no queda ni un país árabe laico... hasta con argelia y tunez están acabando ,0
por desgracia el sorteo que tenía pensado hacer es sólo para gente de europa  ya haré más sorteos para todo el mundo!,0
"primero quiero formar un equipo inicial: lurantis, primarina, mimikyu, salamence, krookodile, sylveon. que mal que no está mawile",0
estoy en una montaña rusa emocional en la que pilotan mis ovarios. de putis ,0
"me quedan 2 capítulos de la sexta temporada de pll, y no quiero acabarla porque sino hasta que doblen la 7 no podré ver nada más ",0
"eres un hombre, no puedes llorar.",1
@kurokatze_ si es eso  pero bueno yo que se cada uno tiene sus gustos porque xd amiks,0
con un rt podrás ayudar a la asociación de robots con problemas psicomotrices de la guardia carmesí https://t.co/viev7st79a,0
"mcs ¿queréis un header como los que hicimos ayer? háblanos, colabora y échate un free para nosotros y será vuestro. se agradece rt ",0
@spaniart en cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿tu?,0
ya casi es año nuevo y no han tuiteado la imágen del viejito con un 2016 y del bebé con un 2017. mátenme ya alv,0
"@antonioortzb @lavuelta @luisangelmate ojú, que envidia más mala me ha dado!!. disfruta. aún me duelen las piernas ¡¡que buena estaba!! ",0
algo bueno que le puedo encontrar al incendio de villava es que esta tan cerca del instituto... seria una pena que se quemase... ,0
@samymtzl va a ganar tu tio @lopezobrador_,0
@lol_spain ¿cuándo son los próximos partidos? ¿dónde esta el calendario? gracias ,0
@lenavg3 jajajaja si si. buscaré en pinterest algo así  gracias,0
"hablando de miradas lascivas, yo una vez vi en el metro a un maldito viejo, que no dejaba de ver a una niña de la secundaria con uniforme",0
"@david_bonilla no poderme quedar el sábado al evento familiar de la @tarugoconf me jode, pero la familia me necesita en bcn ",0
"@thorelvasco @eloymg85 es que 16 gb es muy poquito, sobre todo teniendo en cuenta que el 6s sube a 12 mp y graba en 4k ",0
@sancadillanorte @tigresoficial chale...en mi trabajo si falto tres días seguidos me corren...,0
necesito nuevo dealer éste cuatri será difícil si no dejo mi vida en manos de la bendita drogadicción,0
gracias por compartir querido pepín  @cliftjose,0
mi drama es que ahora me sale primero @taracanto en vez de @/blascanto y me confundo bc costumbre de dar al primer user ,0
pero si eres mi pelado  @slammactivao,1
en la clase de circo de hoy: cáigase de la pelota gigante y rómpase un diente,0
escribí un texto bien interesante acerca de la violencia en el noviazgo y de cómo salir de las relaciones tóxicas. luego lo posteo amigos,0
no hay nada más triste que tener ya +500 en el casino y quedar en ceros,0
@aquilatiki no tengo  pero en iphone esta la app tubex que te deja salirte y seguir escuchando canciones y se pasan solas,0
@elosocarpinter igualmente ayer vi queriendo saquear el bbva y no habia nada ajjaja,0
"nunca van a encontrar a una amiga como yo,que guarde hasta el mínimo papelito de la secundaria que decía: hola!eres súper! nunca cambies",0
